id,code_prefix_start,name,name@pt
chart_group_62611111,62611111,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM
chart_group_62611112,62611112,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM
chart_group_62611113,62611113,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM
chart_group_62611114,62611114,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM,Rendas e Alugueres - Mercado Nacional - Viaturas - LPM
chart_group_6261112,6261112,Rendas e Alugueres - Mercado Nacional - Viaturas - LPHP,Rendas e Alugueres - Mercado Nacional - Viaturas - LPHP
chart_group_62611121,62611121,Rendas e Alugueres - Mercado Nacional - Viaturas - LPHP,Rendas e Alugueres - Mercado Nacional - Viaturas - LPHP
chart_group_62611122,62611122,Rendas e Alugueres - Mercado Nacional - Viaturas - LPHP,Rendas e Alugueres - Mercado Nacional - Viaturas - LPHP
chart_group_62611123,62611123,Rendas e Alugueres - Mercado Nacional - Viaturas - LPHP,Rendas e Alugueres - Mercado Nacional - Viaturas - LPHP
chart_group_62611124,62611124,Rendas e Alugueres - Mercado Nacional - Viaturas - LPHP,Rendas e Alugueres - Mercado Nacional - Viaturas - LPHP
chart_group_6261113,6261113,Rendas e Alugueres - Mercado Nacional - Viaturas - GPL ou GNV,Rendas e Alugueres - Mercado Nacional - Viaturas - GPL ou GNV
chart_group_62611131,62611131,Rendas e Alugueres - Mercado Nacional - Viaturas - GPL ou GNV,Rendas e Alugueres - Mercado Nacional - Viaturas - GPL ou GNV
chart_group_62611132,62611132,Rendas e Alugueres - Mercado Nacional - Viaturas - GPL ou GNV,Rendas e Alugueres - Mercado Nacional - Viaturas - GPL ou GNV
chart_group_62611133,62611133,Rendas e Alugueres - Mercado Nacional - Viaturas - GPL ou GNV,Rendas e Alugueres - Mercado Nacional - Viaturas - GPL ou GNV
chart_group_62611134,62611134,Rendas e Alugueres - Mercado Nacional - Viaturas - GPL ou GNV,Rendas e Alugueres - Mercado Nacional - Viaturas - GPL ou GNV
chart_group_6261114,6261114,Rendas e Alugueres - Mercado Nacional - Viaturas - Energia Elétrica,Rendas e Alugueres - Mercado Nacional - Viaturas - Energia Elétrica
chart_group_62611141,62611141,Rendas e Alugueres - Mercado Nacional - Viaturas - Energia Elétrica,Rendas e Alugueres - Mercado Nacional - Viaturas - Energia Elétrica
